Counterparty,total_ops,completion_rate,cancellation_rate,timing_variability_hours,volume_consistency,efficiency_score
P2P-295fdcys,1,100.0,0.0,,,
GerryARUY,1,0.0,0.0,,,
P2P-06f7efvb,1,0.0,100.0,,,
P2P-394538ti,1,0.0,0.0,,,
P2P-54417ch0,1,0.0,0.0,,,
P2P-bee590wy,1,0.0,0.0,,,
P2P-6c79d2ws,1,0.0,100.0,,,
Mangri,1,0.0,0.0,,,
P2P-3ed1d0yj,1,100.0,0.0,,,
P2P-6a9e59sy,1,0.0,100.0,,,
P2P-fed137d6,1,0.0,0.0,,,
Zyskie,1,0.0,100.0,,,
P2P-910f6dcw,1,0.0,100.0,,,
P2P-1eb491ug,1,100.0,0.0,,,
P2P-497a2as0,1,0.0,100.0,,,
P2P-1be159ot,1,0.0,0.0,,,
P2P-cb4aacxy,1,0.0,100.0,,,
P2P-c7cb37yq,1,100.0,0.0,,,
P2P-26e237vv,1,0.0,0.0,,,
Juanmaster2002,1,100.0,0.0,,,
P2P-5b2530bj,1,0.0,0.0,,,
P2P-8d9de39a,1,100.0,0.0,,,
Ganamosss,1,0.0,100.0,,,
DTJUY,1,0.0,100.0,,,
P2P-052d3ebx,1,100.0,0.0,,,
P2P-ec65c65w,1,0.0,0.0,,,
Mi_Querencia,1,0.0,100.0,,,
AF-Cripto,1,100.0,0.0,,,
P2P-62b1d38x,1,0.0,100.0,,,
P2P-718b41ol,1,100.0,0.0,,,
P2P-1e1fb6k0,1,0.0,0.0,,,
P2P-d78235zv,1,0.0,0.0,,,
nacho9026,1,100.0,0.0,,,
P2P-305b9ajr,1,100.0,0.0,,,
P2P-cb2ff69y,1,0.0,0.0,,,
P2P-fbbb88zh,1,0.0,100.0,,,
BrianCryptos,1,0.0,0.0,,,
P2P-1c3aebzm,1,0.0,100.0,,,
P2P-c498ee3q,1,0.0,100.0,,,
P2P-b2a813t4,1,0.0,0.0,,,
P2P-fb2c08is,1,0.0,0.0,,,
Gastoniwcc,1,100.0,0.0,,,
P2P-ebb3acrk,1,100.0,0.0,,,
P2P-daf17dok,1,0.0,100.0,,,
Perritomalvado,1,100.0,0.0,,,
P2P-34593exm,1,0.0,0.0,,,
P2P-08843cu6,1,0.0,0.0,,,
P2P-2f438e0q,1,0.0,100.0,,,
P2P-3306a1ku,1,100.0,0.0,,,
P2P-3741d5ry,1,0.0,0.0,,,
P2P-c28e3bgg,1,0.0,100.0,,,
P2P-3d1176to,1,0.0,100.0,,,
P2P-a54b1fiz,1,0.0,100.0,,,
P2P-3d94c5q9,1,0.0,100.0,,,
P2P-7e01fcy9,1,0.0,0.0,,,
P2P-21c2c6qo,1,0.0,100.0,,,
P2P-3ba6absy,1,0.0,100.0,,,
P2P-53b0604u,1,0.0,0.0,,,
damianbusiness,1,0.0,0.0,,,
P2P-6b396dkn,1,0.0,0.0,,,
El_Elias27,1,100.0,0.0,,,
P2P-701a759w,1,100.0,0.0,,,
P2P-5ff10350,1,0.0,100.0,,,
P2P-52128egr,1,0.0,0.0,,,
PashaDeg,1,0.0,0.0,,,
P2P-522596a7,1,0.0,0.0,,,
P2P-16d3d2ak,1,100.0,0.0,,,
P2P-47b886qt,1,100.0,0.0,,,
P2P-b16270ur,1,100.0,0.0,,,
JaviCambio,1,0.0,100.0,,,
P2P-2f4b64dy,1,0.0,0.0,,,
P2P-2060e2pw,1,0.0,0.0,,,
P2P-5c9cd3eq,1,100.0,0.0,,,
P2P-b4646erv,1,0.0,0.0,,,
P2P-df3c613r,1,0.0,0.0,,,
P2P-1b1b53o8,1,100.0,0.0,,,
P2P-9962e8g6,1,0.0,0.0,,,
P2P-ee12052y,1,0.0,100.0,,,
P2P-3804d0yt,1,0.0,100.0,,,
xxsoadxx,1,0.0,0.0,,,
Impulsotrading,1,100.0,0.0,,,
ACEM_MVD,1,100.0,0.0,,,
P2P-88fb85ju,1,100.0,0.0,,,
P2P-2815b9b6,1,100.0,0.0,,,
P2P-17fcd4oz,1,100.0,0.0,,,
P2P-7028feyo,1,100.0,0.0,,,
P2P-c2ec99nk,1,0.0,100.0,,,
P2P-77c976xy,1,0.0,0.0,,,
pabliito07,1,0.0,100.0,,,
P2P-6dca87kb,1,0.0,100.0,,,
DMV_BTC,1,100.0,0.0,,,
P2P-7d10eehy,1,0.0,100.0,,,
Angela,1,0.0,0.0,,,
xMellx,1,100.0,0.0,,,
P2P-b05de51u,1,0.0,0.0,,,
P2P-81f0e1ru,1,0.0,100.0,,,
AgustinM,1,100.0,0.0,,,
P2P-3a273e48,1,0.0,0.0,,,
P2P-d531f4lo,1,0.0,100.0,,,
P2P-6a1e99fc,1,0.0,0.0,,,
P2P-2c1484ty,1,0.0,0.0,,,
P2P-ce4ce7bg,1,0.0,0.0,,,
JuanSH,1,100.0,0.0,,,
P2P-06cf0eb7,1,0.0,100.0,,,
